이름,나이,성별,점수,시험일,비고,정제된_점수,score_quality,is_score_clean
,0x1d,남,,19.09.1979,,,C,False
서정남,twenty,male,59점,,,59.0,A,True
김영자,,male,ninety-five,,.,,C,False
,10세,male,none,10-06-1980,retake,,C,False
김재호,,m,90점,1979년 05월 16일,없음,90.0,A,True
김은서,14,남,ninety-five,,note: 재응시,,C,False
김지원,,F,none,Aug/30/1982,Retook,,C,False
이민지,,남,57,Oct/25/1987,retake,57.0,A,True
,twenty,f,eighty,1989년 06월 08일,note: 재응시,,C,False
홍예준,twenty,male,eighty,,,,C,False
,0x17,f,,18-07-2018,Retook,,C,False
,15,male,0b1010011,1991/10/01,,83.0,B,False
강채원,?,m,0b111010,31.05.1990,retake,58.0,B,False
한경희,seventeen,F,96,,없음,96.0,A,True
이도현,,female,,05-04-1978,,,C,False
김서준,,male,66점,2023/10/14,,66.0,A,True
이영미,20세,여,,09.09.2024,없음,,C,False
이진우,18,m,eighty,,retake,,C,False
강보람,,,60점,1997년 11월 11일,.,60.0,A,True
김영미,seventeen,,93점,2009-02-14,,93.0,A,True
윤윤서,18,여,64,13-04-2016,retake,64.0,A,True
홍지영,21세,m,52,,Retook,52.0,A,True
김성수,0x13,F,eighty,1978-10-13,.,,C,False
김진우,-,남,none,1990/09/12,Retook,,C,False
이은지,-,male,none,24-04-2005,note: 재응시,,C,False
허영길,-,M,70점,,,70.0,A,True
,seventeen,f,,,Retook,,C,False
,?,female,ninety-five,2010/04/10,Retook,,C,False
,twenty,,52점,2019/01/15,note: 재응시,52.0,A,True
김명숙,19세,f,0b1100011,Jun/20/2022,,99.0,B,False
강주원,seventeen,female,,11.03.2022,,,C,False
김성훈,seventeen,m,0b111110,2007년 02월 16일,note: 재응시,62.0,B,False
박현지,-,female,ninety-five,2013/09/06,note: 재응시,,C,False
김정희,-,f,,2024-12-09,,,C,False
박수민,14세,,,,note: 재응시,,C,False
,,남,eighty,,re-take,,C,False
,11세,male,ninety-five,Feb/18/1997,,,C,False
박병철,,female,84,2021-10-06,,84.0,A,True
,,,none,04-05-1978,,,C,False
,?,여,96점,,Retook,96.0,A,True
박지영,,m,none,,없음,,C,False
,?,female,0b111011,2019-01-27,,59.0,B,False
남중수,0x17,남,,30.12.1990,,,C,False
이명숙,twenty,f,,May/20/1986,Retook,,C,False
하미경,twenty,female,55점,10.06.1973,re-take,55.0,A,True
김정훈,-,male,none,2010-08-30,re-take,,C,False
김예은,20,m,54,11.02.1979,,54.0,A,True
,16,,ninety-five,10-06-1997,,,C,False
김영철,,여,none,1973-06-25,,,C,False
김숙자,,female,,2022년 01월 07일,없음,,C,False
윤영희,0x17,f,67점,20.04.2016,re-take,67.0,A,True
김서윤,-,male,58점,1978-10-03,,58.0,A,True
최상현,?,f,,17-05-2021,,,C,False
김재현,14,female,70점,1997/04/25,없음,70.0,A,True
,?,F,ninety-five,Mar/28/2002,없음,,C,False
김정남,-,,0b1001111,,,79.0,B,False
김진우,,여,0b111100,2020년 04월 23일,없음,60.0,B,False
박지우,-,,95,,없음,95.0,A,True
,18,,70점,,,70.0,A,True
이영수,21세,남,none,17.06.1977,,,C,False
,seventeen,,0b1011101,1990-12-09,없음,93.0,B,False
이성현,twenty,M,none,2002/04/19,note: 재응시,,C,False
김서연,?,m,,2009/04/23,,,C,False
이서준,21세,여,56점,Jan/29/2019,note: 재응시,56.0,A,True
유시우,15,m,100,1972년 02월 24일,,100.0,A,True
최명숙,seventeen,male,eighty,2000년 01월 06일,,,C,False
전현주,0x13,F,75점,Dec/27/2016,.,75.0,A,True
홍민지,,f,87점,12.08.2011,없음,87.0,A,True
,,m,,26.05.1979,,,C,False
,?,남,55점,,,55.0,A,True
안영길,?,male,eighty,,,,C,False
,,여,none,1994-02-09,retake,,C,False
오민지,-,male,none,Dec/13/2002,retake,,C,False
주영환,20세,남,eighty,24-12-2007,.,,C,False
신명숙,?,f,eighty,,retake,,C,False
,?,f,ninety-five,1991/07/30,,,C,False
성도현,seventeen,F,none,1988/08/10,re-take,,C,False
최정남,0x1a,m,80점,Aug/10/2022,.,80.0,A,True
,10세,,none,1975년 05월 19일,retake,,C,False
최우진,,m,ninety-five,2000/02/08,.,,C,False
,?,,90,Mar/31/2008,note: 재응시,90.0,A,True
김정희,seventeen,f,,Jun/01/2020,note: 재응시,,C,False
이정남,,,,,없음,,C,False
,,,,,retake,,C,False
박현준,0x1e,f,74,,.,74.0,A,True
,18세,,70,09.09.1997,,70.0,A,True
심중수,,M,,1991년 11월 09일,,,C,False
이민지,?,female,ninety-five,,,,C,False
한은영,seventeen,,ninety-five,,re-take,,C,False
윤경숙,twenty,,67,1981-11-30,Retook,67.0,A,True
,0x14,F,none,,retake,,C,False
,twenty,F,ninety-five,2008/08/25,,,C,False
최서준,0x10,여,,Aug/12/2003,없음,,C,False
오서영,,female,,2001/11/06,re-take,,C,False
이예지,?,남,ninety-five,,re-take,,C,False
홍미경,?,,eighty,16.02.2020,.,,C,False
이건우,twenty,M,81,14.07.2021,없음,81.0,A,True
,12세,,64,1992년 04월 25일,note: 재응시,64.0,A,True
최영자,?,f,,,note: 재응시,,C,False
,0x1d,female,,1996년 02월 07일,.,,C,False
,seventeen,f,95,1986-01-10,.,95.0,A,True
,seventeen,F,eighty,Oct/19/1987,Retook,,C,False
배주원,15,M,,25.03.1974,,,C,False
배서영,0x1f,F,none,Sep/08/2016,note: 재응시,,C,False
,0x19,male,0b1000111,2022/05/22,Retook,71.0,B,False
이은정,0x17,여,none,,없음,,C,False
남준호,,,,1995년 06월 05일,,,C,False
,twenty,,,2017/10/07,re-take,,C,False
서성진,0x15,,eighty,11-11-1984,,,C,False
송채원,?,,0b1100000,,Retook,96.0,B,False
이지우,,,58,1977년 08월 20일,.,58.0,A,True
문준호,25,여,94,2006년 07월 09일,retake,94.0,A,True
류영길,23,m,ninety-five,30.05.2005,,,C,False
,0x10,female,,Apr/07/2003,Retook,,C,False
,,f,71점,12-01-2025,retake,71.0,A,True
주수빈,-,m,eighty,17.05.2008,없음,,C,False
이현지,,,,,없음,,C,False
,20세,,ninety-five,02.10.2020,,,C,False
김현주,?,남,,12.06.1993,,,C,False
,?,female,66,15.02.2002,Retook,66.0,A,True
,,M,none,Feb/11/2022,note: 재응시,,C,False
,,m,none,26.06.1995,retake,,C,False
오건우,seventeen,F,84점,17.06.2016,,84.0,A,True
박정희,21,male,ninety-five,27.01.1978,retake,,C,False
,0x14,f,60,14.07.2019,.,60.0,A,True
장성진,24,F,0b1000110,2018년 12월 08일,,70.0,B,False
,,F,eighty,14-03-2006,retake,,C,False
이승민,seventeen,남,60점,1993/07/22,없음,60.0,A,True
이민수,twenty,female,,1977/09/05,,,C,False
노정남,-,male,eighty,2022/02/17,re-take,,C,False
강수진,?,female,88,,없음,88.0,A,True
김수빈,,m,ninety-five,2017-11-10,,,C,False
최재호,-,여,,1999-11-15,note: 재응시,,C,False
,0x10,,0b1000100,,re-take,68.0,B,False
배주원,?,m,none,2015년 10월 07일,retake,,C,False
김영일,,female,eighty,2005년 06월 21일,,,C,False
,seventeen,m,none,,,,C,False
장서윤,-,F,,Mar/10/2016,,,C,False
김상호,-,m,ninety-five,,Retook,,C,False
,22,m,90점,09-09-2005,note: 재응시,90.0,A,True
강병철,?,female,none,Jul/07/1982,,,C,False
박서현,twenty,F,0b1011100,,.,92.0,B,False
김지아,?,male,none,03.12.1973,,,C,False
김영자,20세,M,,25-01-2006,re-take,,C,False
성영진,?,F,0b110100,1987-05-09,re-take,52.0,B,False
,0x17,M,ninety-five,,없음,,C,False
송정남,12세,female,eighty,,Retook,,C,False
최현정,0x15,F,94점,1974-12-15,,94.0,A,True
강정희,10,남,,1992년 08월 28일,retake,,C,False
,-,여,ninety-five,,,,C,False
서예은,twenty,,,04-08-2002,,,C,False
김재현,-,남,,,.,,C,False
박은정,seventeen,,0b1010000,1989/04/06,Retook,80.0,B,False
김성민,0x1e,남,55,,,55.0,A,True
이영철,,female,eighty,2021년 10월 30일,,,C,False
김정수,,,eighty,1991-10-17,,,C,False
김영순,?,f,eighty,2008-04-12,re-take,,C,False
이서영,?,m,none,30.12.2018,re-take,,C,False
배영환,,여,0b111011,,,59.0,B,False
고지연,-,f,96점,2003/12/24,,96.0,A,True
,?,남,,2020년 04월 30일,note: 재응시,,C,False
고현정,seventeen,남,,1993년 12월 19일,,,C,False
,18세,f,,Mar/26/2003,,,C,False
김서윤,11,f,none,30-12-1973,note: 재응시,,C,False
김성진,0x12,M,59점,Jan/24/1998,,59.0,A,True
,seventeen,,86점,14.02.2018,,86.0,A,True
김우진,twenty,여,,Feb/11/1974,note: 재응시,,C,False
,,m,,,note: 재응시,,C,False
,twenty,,86,1970년 10월 22일,Retook,86.0,A,True
김성훈,22세,f,eighty,1989년 07월 05일,.,,C,False
이정훈,,f,none,03-05-2025,,,C,False
권준영,0x1b,M,ninety-five,,없음,,C,False
김경수,seventeen,여,0b1010000,,Retook,80.0,B,False
엄순자,seventeen,여,0b1000111,03.01.1997,Retook,71.0,B,False
황은지,-,male,67점,,,67.0,A,True
하서연,13,F,,2021년 09월 09일,,,C,False
김민수,25세,,none,2007년 08월 12일,없음,,C,False
최서윤,?,F,ninety-five,,없음,,C,False
황민지,-,,,May/18/2023,note: 재응시,,C,False
,0x1d,남,98,,없음,98.0,A,True
차미영,?,female,100점,11-05-2002,없음,100.0,A,True
,17세,female,none,15-12-2006,retake,,C,False
,-,여,58,05.02.1984,.,58.0,A,True
한재현,?,m,61,2018/07/02,re-take,61.0,A,True
,12,F,65,Jan/27/2016,없음,65.0,A,True
김현지,seventeen,male,0b111110,04.05.2020,,62.0,B,False
,seventeen,m,none,,re-take,,C,False
박성현,0x10,,90,,,90.0,A,True
,twenty,female,,13.07.2010,retake,,C,False
,13,,,25-02-2013,note: 재응시,,C,False
이지민,21,f,0b111100,19-03-1994,note: 재응시,60.0,B,False
이지원,twenty,,0b110111,,없음,55.0,B,False
박영희,?,f,eighty,2022-07-19,re-take,,C,False
이지혜,?,,ninety-five,27-03-1988,Retook,,C,False
김춘자,?,F,ninety-five,,Retook,,C,False
박우진,-,female,,,retake,,C,False
김준혁,?,female,51,11-05-1988,note: 재응시,51.0,A,True
,twenty,m,eighty,2004년 11월 14일,re-take,,C,False
,,,0b1000000,,.,64.0,B,False
김진호,?,남,0b1011111,Jan/29/1992,retake,95.0,B,False
오영식,,male,,Jan/09/2023,없음,,C,False
,seventeen,,0b1001111,2019-04-30,Retook,79.0,B,False
안동현,-,,none,,.,,C,False
한성수,-,F,,2003/07/23,,,C,False
박옥자,twenty,남,0b1010101,26-05-1990,,85.0,B,False
,12세,female,,1994-07-29,retake,,C,False
,,F,,27.02.2001,없음,,C,False
김민석,11세,여,0b1011011,Mar/15/2012,note: 재응시,91.0,B,False
,23,male,ninety-five,,,,C,False
,19세,F,,2010/06/13,note: 재응시,,C,False
박수빈,seventeen,남,93,,note: 재응시,93.0,A,True
김상현,21세,female,0b1000100,2003년 06월 01일,,68.0,B,False
김영진,,남,76,Aug/04/1995,,76.0,A,True
우영철,twenty,,ninety-five,1983년 08월 07일,.,,C,False
김채원,,f,ninety-five,2007년 06월 08일,,,C,False
,-,f,,Apr/07/1984,,,C,False
박병철,14세,,0b1010010,2024년 02월 07일,re-take,82.0,B,False
노영수,?,남,eighty,1997-11-04,retake,,C,False
,0x1b,,eighty,,,,C,False
김민서,twenty,f,,1995/08/28,,,C,False
이혜진,0x12,f,,1998년 06월 19일,retake,,C,False
권예준,?,남,,20.06.1994,.,,C,False
김옥순,,m,none,06-06-2013,re-take,,C,False
박준호,21세,,0b1001001,Apr/27/1981,retake,73.0,B,False
이은정,19,남,68점,2014년 01월 04일,.,68.0,A,True
